mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3017788728078206,0.003869092472770259,0.12847820917765299,0.015221641406256451,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,20
0.49608325958251953,0.0042794537625127655,0.1313467025756836,0.004895485432962697,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7932489451476793,0.810126582278481,0.793562150598636,0.013398766715302095,16
0.7394290765126547,0.017135377280868825,0.15038641293843588,0.002210726777881378,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7890295358649789,0.8059071729957806,0.7907492110768358,0.011737527309053804,17
0.9807066122690836,0.0786953979730138,0.1912386417388916,0.002993551873429747,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7773109243697479,0.7848101265822784,0.810126582278481,0.7907492110768358,0.014039738707703161,17
1.2943668365478516,0.03969610800182561,0.21587657928466797,0.012767245795285176,2,500,"{'clf__max_depth': 2, 'clf__n_estimators': 500}",0.7773109243697479,0.7890295358649789,0.8059071729957806,0.7907492110768358,0.011737527309053804,17
0.3641532262166341,0.012273046115419323,0.13807876904805502,0.010358630422798545,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8025210084033614,0.8185654008438819,0.8143459915611815,0.8118108002694749,0.006790975794416012,14
0.6089591979980469,0.06054526734721581,0.14889351526896158,0.006041139711989641,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.819327731092437,0.8185654008438819,0.7974683544303798,0.8117871621222328,0.010129708029328676,15
0.8179824352264404,0.07439043414348283,0.1699685255686442,0.005373974155735947,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8059071729957806,0.8146001016440332,0.006154702441476354,13
1.1475749015808105,0.03944193133194709,0.185870091120402,0.027142579636415236,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.819327731092437,0.8227848101265823,0.810126582278481,0.8174130411658335,0.0053421101448703325,11
1.4571038881937664,0.0144233820115451,0.19394644101460776,0.00820757225697128,3,500,"{'clf__max_depth': 3, 'clf__n_estimators': 500}",0.819327731092437,0.8185654008438819,0.810126582278481,0.8160065714049333,0.004169411704894204,12
0.3638257185618083,0.01788970094590943,0.10935672124226888,0.003014796225670763,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8235294117647058,0.8312236286919831,0.8185654008438819,0.8244394804335237,0.005207613132077823,7
0.6108313401540121,0.06321234191677214,0.14241949717203775,0.003345547420205641,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8235294117647058,0.8312236286919831,0.8185654008438819,0.8244394804335237,0.005207613132077823,7
0.8138349850972494,0.06668280597548704,0.16184592247009277,0.0044549068960047285,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8185654008438819,0.823038920209434,0.005795824736261964,10
1.2096279462178547,0.0661199062006941,0.18395090103149414,0.008199810322316942,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8235294117647058,0.8312236286919831,0.8227848101265823,0.8258459501944238,0.003814723879671851,6
1.472713867823283,0.034422999751123104,0.19023283322652182,0.014837973271043053,4,500,"{'clf__max_depth': 4, 'clf__n_estimators': 500}",0.8235294117647058,0.8312236286919831,0.8185654008438819,0.8244394804335237,0.005207613132077823,7
0.3636939525604248,0.010227495409574048,0.12858366966247559,0.010396655088936035,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8235294117647058,0.8396624472573839,0.8270042194092827,0.8300653594771242,0.006932851382522248,2
0.6495028336842855,0.08334422576357649,0.15587576230367026,0.018454124544549696,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8438818565400844,0.8270042194092827,0.8300712690139348,0.010256099456185379,1
0.8207898139953613,0.06726344140899518,0.13633577028910318,0.006538656113075112,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8396624472573839,0.8270042194092827,0.8286647992530346,0.00838424373215796,4
1.1106127897898357,0.01504332210852648,0.10741297403971355,0.012723776030178066,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.819327731092437,0.8396624472573839,0.8227848101265823,0.8272583294921344,0.008883859972358712,5
1.0870199998219807,0.04738110085971666,0.07907573382059734,0.01064913525088304,5,500,"{'clf__max_depth': 5, 'clf__n_estimators': 500}",0.8235294117647058,0.8396624472573839,0.8270042194092827,0.8300653594771242,0.006932851382522248,2
